,Open,High,Low,Close,Volume
2025-03-11 17:20:00,220.4098,220.83,220.35,220.53,3880.0
2025-03-11 17:25:00,220.54,220.83,220.5,220.529,6380.0
2025-03-11 17:30:00,220.53,220.59,220.26,220.36,4658.0
2025-03-11 17:35:00,220.37,220.55,220.3,220.53,3405.0
2025-03-11 17:40:00,220.54,220.55,220.33,220.5,2451.0
2025-03-11 17:45:00,220.5,220.64,220.33,220.56,1869.0
2025-03-11 17:50:00,220.59,220.66,220.3603,220.56,4493.0
2025-03-11 17:55:00,220.56,220.66,220.34,220.57,2087.0
2025-03-11 18:00:00,220.5,220.95,220.25,220.6,7335.0
2025-03-11 18:05:00,220.38,220.88,220.38,220.6,4119.0
2025-03-11 18:10:00,220.62,221.25,220.49,221.0,4766.0
2025-03-11 18:15:00,220.5675,221.25,220.36,220.6232,1103.0
2025-03-11 18:20:00,220.99,221.0,220.53,220.77,957.0
2025-03-11 18:25:00,220.99,220.99,220.33,220.83,2185.0
2025-03-11 18:30:00,220.83,220.97,220.7,220.73,2329.0
2025-03-11 18:35:00,220.97,221.21,220.7,221.2,2602.0
2025-03-11 18:40:00,221.06,221.21,220.9,221.05,1903.0
2025-03-11 18:45:00,221.02,221.21,220.9,221.2099,1161.0
2025-03-11 18:50:00,221.2,221.21,221.05,221.21,1459.0
2025-03-11 18:55:00,221.21,221.39,221.04,221.05,3232.0
2025-03-11 19:00:00,221.2082,221.39,220.8301,220.87,1997.0
2025-03-11 19:05:00,220.9,221.07,220.83,221.07,4280.0
2025-03-11 19:10:00,220.95,221.07,220.73,220.85,2245.0
2025-03-11 19:15:00,220.75,221.07,220.73,220.75,1613.0
2025-03-11 19:20:00,220.74,221.0,220.73,220.8,2515.0
2025-03-11 19:25:00,220.76,220.99,220.5,220.5,6531.0
2025-03-11 19:30:00,220.5001,220.84,220.5,220.7,3449.0
2025-03-11 19:35:00,220.695,220.7,220.51,220.7,1066.0
2025-03-11 19:40:00,220.67,220.7,220.52,220.65,1678.0
2025-03-11 19:45:00,220.78,220.78,220.65,220.75,1376.0
2025-03-11 19:50:00,220.7483,221.07,220.7101,221.0663,2311.0
2025-03-11 19:55:00,221.07,221.07,220.78,220.97,3294.0
